global_step,epoch,train/loss,train/accept_len,train/accept_rate
815,0,0.859,1.661,0.198
816,0,0.758,2.064,0.334
817,0,0.859,1.75,0.241
818,0,0.93,1.48,0.187
819,0,0.812,1.894,0.279
820,0,0.699,2.396,0.387
821,0,0.844,1.855,0.274
822,0,0.883,1.749,0.239
823,0,0.773,2.121,0.318
824,0,0.801,1.996,0.276
825,0,0.875,1.634,0.2
826,0,0.883,1.715,0.224
827,0,0.859,1.711,0.223
828,0,0.68,2.474,0.418
829,0,0.914,1.552,0.198
830,0,0.863,1.587,0.21
831,0,0.938,1.505,0.18
832,0,0.887,1.738,0.174
833,0,0.934,1.503,0.192
834,0,0.758,2.142,0.327
835,0,0.785,2.147,0.321
836,0,0.898,1.586,0.191
837,0,0.867,1.858,0.248
838,0,0.82,2.069,0.302
839,0,0.852,1.794,0.265
840,0,0.832,1.89,0.269
841,0,0.633,2.65,0.451
842,0,0.734,2.313,0.367
843,0,0.824,1.861,0.259
844,0,0.672,2.504,0.426
845,0,0.918,1.535,0.158
846,0,0.875,1.723,0.227
847,0,0.75,2.143,0.343
848,0,0.738,2.204,0.336
849,0,0.855,1.83,0.255
850,0,0.641,2.582,0.433
851,0,0.723,2.422,0.383
852,0,0.797,2.161,0.322
853,0,0.828,1.957,0.285
854,0,0.91,1.539,0.181
855,0,0.836,1.765,0.219
856,0,0.824,1.792,0.252
857,0,0.879,1.596,0.222
858,0,0.82,1.91,0.281
859,0,0.844,1.839,0.262
