t,kind,rank,worker,pid,index,wall_ms,cpu_ms,ok,n_in,seq_len,global_step,epoch,local_step,load_ms,t_batch,t_fwd,t_bwd,t_opt,t_end
1789038366.8181,timeline,2,-1,28342,,,,,,,39.0,0.0,40.0,0.092,71822.382174,71824.714117,71824.733998,71824.733998,71824.734019
1789038366.8183,timeline,1,-1,28341,,,,,,,39.0,0.0,40.0,0.091,71822.397223,71824.713496,71824.73421,71824.73421,71824.734228
1789038366.8183,timeline,0,-1,28340,,,,,,,39.0,0.0,40.0,0.397,71822.422066,71824.713286,71824.734206,71824.734206,71824.734226
1789038366.8225,timeline,3,-1,28343,,,,,,,39.0,0.0,40.0,2214.488,71824.620876,71824.717709,71824.738363,71824.738363,71824.738381
1789038367.0763,timeline,2,-1,28342,,,,,,,40.0,0.0,41.0,0.12,71824.734325,71824.894244,71824.987238,71824.987238,71824.992186
1789038367.0763,timeline,1,-1,28341,,,,,,,40.0,0.0,41.0,0.108,71824.73463,71824.896669,71824.987217,71824.987217,71824.992261
1789038367.0799,timeline,0,-1,28340,,,,,,,40.0,0.0,41.0,0.167,71824.734702,71824.894323,71824.9872,71824.9872,71824.995827
1789038367.0763,timeline,3,-1,28343,,,,,,,40.0,0.0,41.0,0.109,71824.738806,71824.894234,71824.987204,71824.987204,71824.992184
1789038369.4086,timeline,2,-1,28342,,,,,,,41.0,0.0,42.0,0.107,71824.992539,71827.03047,71827.324505,71827.324505,71827.324521
1789038369.3708,timeline,1,-1,28341,,,,,,,41.0,0.0,42.0,0.147,71824.992687,71827.03792,71827.286713,71827.286713,71827.286725
1789038369.3802,timeline,0,-1,28340,,,,,,,41.0,0.0,42.0,0.135,71824.996517,71827.030788,71827.296093,71827.296093,71827.296111
1789038369.3713,timeline,3,-1,28343,,,,,,,41.0,0.0,42.0,1925.411,71826.917834,71827.029977,71827.28717,71827.28717,71827.287193
1789038369.7031,timeline,1,-1,28341,,,,,,,42.0,0.0,43.0,0.102,71827.287137,71827.599934,71827.618988,71827.618988,71827.619002
1789038369.7007,timeline,0,-1,28340,,,,,,,42.0,0.0,43.0,0.142,71827.296621,71827.59683,71827.616612,71827.616612,71827.616626
1789038369.6997,timeline,2,-1,28342,,,,,,,42.0,0.0,43.0,0.122,71827.324949,71827.596197,71827.615565,71827.615565,71827.61558
1789038369.7002,timeline,3,-1,28343,,,,,,,42.0,0.0,43.0,219.322,71827.506753,71827.59569,71827.61616,71827.61616,71827.616174
1789038371.2077,timeline,2,-1,28342,,,,,,,43.0,0.0,44.0,0.091,71827.615931,71829.10443,71829.123621,71829.123621,71829.123639
1789038371.2093,timeline,0,-1,28340,,,,,,,43.0,0.0,44.0,0.379,71827.617156,71829.105453,71829.125197,71829.125197,71829.125219
1789038371.2118,timeline,1,-1,28341,,,,,,,43.0,0.0,44.0,0.088,71827.619374,71829.107441,71829.127667,71829.127667,71829.127685
1789038371.2078,timeline,3,-1,28343,,,,,,,43.0,0.0,44.0,1395.586,71829.011981,71829.103145,71829.123706,71829.123706,71829.123722
1789038372.4794,timeline,2,-1,28342,,,,,,,44.0,0.0,45.0,0.111,71829.12407,71830.127945,71830.395335,71830.395335,71830.395349
1789038372.4639,timeline,0,-1,28340,,,,,,,44.0,0.0,45.0,0.171,71829.12587,71830.127118,71830.379859,71830.379859,71830.379871
1789038372.4628,timeline,1,-1,28341,,,,,,,44.0,0.0,45.0,0.143,71829.128345,71830.12845,71830.378684,71830.378684,71830.378697
1789038372.4599,timeline,3,-1,28343,,,,,,,44.0,0.0,45.0,912.679,71830.036599,71830.125001,71830.375758,71830.375758,71830.375778
1789038373.746,timeline,1,-1,28341,,,,,,,45.0,0.0,46.0,0.255,71830.37911,71831.642231,71831.661906,71831.661906,71831.661921
1789038373.7448,timeline,0,-1,28340,,,,,,,45.0,0.0,46.0,0.14,71830.380427,71831.641001,71831.660677,71831.660677,71831.660696
1789038373.7525,timeline,2,-1,28342,,,,,,,45.0,0.0,46.0,0.091,71830.395732,71831.648628,71831.668407,71831.668407,71831.668421
1789038373.7464,timeline,3,-1,28343,,,,,,,45.0,0.0,46.0,1173.681,71831.549711,71831.641073,71831.66226,71831.66226,71831.662284
1789038374.339,timeline,0,-1,28340,,,,,,,46.0,0.0,47.0,0.132,71831.661108,71832.234495,71832.254892,71832.254892,71832.25491
1789038374.3407,timeline,1,-1,28341,,,,,,,46.0,0.0,47.0,0.106,71831.662328,71832.235013,71832.256649,71832.256649,71832.256668
1789038374.3355,timeline,2,-1,28342,,,,,,,46.0,0.0,47.0,0.106,71831.668792,71832.232482,71832.251431,71832.251431,71832.251446
